not_infected	infected	immnuned
75	5	5
74	6	5
73	7	5
73	7	5
73	7	5
73	7	5
73	7	5
73	7	5
73	7	5
73	7	5
73	7	5
69	11	5
67	13	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
65	15	5
64	16	5
64	16	5
64	16	5
64	16	5
63	17	5
63	17	5
61	19	5
61	19	5
61	19	5
61	19	5
61	19	5
61	19	5
60	20	5
60	20	5
60	20	5
60	20	5
60	20	5
60	20	5
60	20	5
61	19	5
61	19	5
61	19	5
61	19	5
61	19	5
61	19	5
60	20	5
59	21	5
59	21	5
59	21	5
59	21	5
59	21	5
59	21	5
59	21	5
59	21	5
59	21	5
59	21	5
57	23	5
57	23	5
55	25	5
53	27	5
53	27	5
53	27	5
52	28	5
51	29	5
49	31	5
49	31	5
48	32	5
48	32	5
48	32	5
50	30	5
49	31	5
48	32	5
47	33	5
43	37	5
43	37	5
43	37	5
43	37	5
43	37	5
43	37	5
42	38	5
40	40	5
40	40	5
39	41	5
38	42	5
36	44	5
36	44	5
36	44	5
36	44	5
34	46	5
34	46	5
34	46	5
34	46	5
34	46	5
34	46	5
33	47	5
33	47	5
33	47	5
33	47	5
32	48	5
32	48	5
28	52	5
25	55	5
24	56	5
23	57	5
20	60	5
19	61	5
17	63	5
17	63	5
17	63	5
16	64	5
13	67	4
13	67	4
13	67	4
13	67	4
12	68	4
13	67	4
13	67	4
12	68	4
12	68	4
12	68	4
12	68	4
12	68	4
12	68	4
12	68	4
12	68	4
11	69	4
11	69	4
11	69	4
11	69	4
10	70	4
11	69	4
11	69	4
10	70	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
8	72	4
8	72	4
8	72	4
9	71	4
8	72	4
7	73	4
7	73	4
7	73	4
8	72	4
8	72	4
9	71	4
10	70	4
10	70	4
10	70	4
10	70	4
10	70	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
10	70	4
9	71	4
9	71	4
9	71	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
7	73	4
6	74	4
6	74	4
5	75	4
5	75	4
5	75	4
6	74	4
6	74	4
6	74	4
6	74	4
6	74	4
6	74	4
5	75	4
5	75	4
5	75	4
6	74	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
8	72	4
8	72	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
7	73	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
7	73	4
7	73	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	5
8	72	5
8	72	5
7	73	5
6	74	5
6	74	5
6	74	5
6	74	6
6	74	6
7	73	6
7	73	6
8	72	6
8	72	7
8	72	7
9	71	7
11	69	8
11	69	8
12	68	8
12	68	8
12	68	8
12	68	8
11	69	8
9	71	8
9	71	7
9	71	7
9	71	7
9	71	7
9	71	7
10	70	7
10	70	7
10	70	7
10	70	7
10	70	7
10	70	7
11	69	7
11	69	7
11	69	7
12	68	7
13	67	7
13	67	7
13	67	7
12	68	7
12	68	7
12	68	7
12	68	7
13	67	7
12	68	7
11	69	7
11	69	7
11	69	7
12	68	7
12	68	7
12	68	7
12	68	7
12	68	7
13	67	7
12	68	7
12	68	7
13	67	7
13	67	7
13	67	7
13	67	7
13	67	7
14	66	7
14	66	7
14	66	7
14	66	7
15	65	7
16	64	7
16	64	7
16	64	7
16	64	7
15	65	7
15	65	7
16	64	7
16	64	7
16	64	7
16	64	7
16	64	7
17	63	7
17	63	7
17	63	7
16	64	7
16	64	7
16	64	7
16	64	7
15	65	7
16	64	7
16	64	7
14	66	7
14	66	7
14	66	7
14	66	7
15	65	7
15	65	7
15	65	7
15	65	7
15	65	7
14	66	7
13	67	7
13	67	6
14	66	6
13	67	6
13	67	6
12	68	6
11	69	6
11	69	6
11	69	6
11	69	6
11	69	6
11	69	6
13	67	6
13	67	6
14	66	6
16	64	6
15	65	6
14	66	6
15	65	6
15	65	6
15	65	6
17	63	6
16	64	6
16	64	6
16	64	6
17	63	6
17	63	6
19	61	6
18	62	6
18	62	6
20	60	6
20	60	6
17	63	6
17	63	6
16	64	6
15	65	6
14	66	6
14	66	6
14	66	6
15	65	6
15	65	6
15	65	6
17	63	6
18	62	6
18	62	6
18	62	6
17	63	6
18	62	6
16	64	6
16	64	6
14	66	6
14	66	6
14	66	6
15	65	6
15	65	6
15	65	6
16	64	6
17	63	6
17	63	6
17	63	6
16	64	6
17	63	6
17	63	6
16	64	6
15	65	6
15	65	6
14	66	6
13	67	6
13	67	6
14	66	6
14	66	6
12	68	6
11	69	6
10	70	6
10	70	6
10	70	6
10	70	6
11	69	6
11	69	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
9	71	6
10	70	6
11	69	6
10	70	6
10	70	6
10	70	6
10	70	6
10	70	6
11	69	6
11	69	7
11	69	7
12	68	7
12	68	7
13	67	7
13	67	7
14	66	8
14	66	8
13	67	8
13	67	8
13	67	8
13	67	8
13	67	8
12	68	8
12	68	8
12	68	8
12	68	8
12	68	8
11	69	8
10	70	8
10	70	8
10	70	8
10	70	8
10	70	8
11	69	8
11	69	8
10	70	8
12	68	8
12	68	8
12	68	8
13	67	8
13	67	8
15	65	9
15	65	9
15	65	9
15	65	9
15	65	9
15	65	9
16	64	9
15	65	9
15	65	10
16	64	10
16	64	10
16	64	10
17	63	12
17	63	12
16	64	12
16	64	12
16	64	12
16	64	12
16	64	12
16	64	12
16	64	12
15	65	12
14	66	12
15	65	12
15	65	12
14	66	12
15	65	13
15	65	14
16	64	14
16	64	14
17	63	14
17	63	14
17	63	14
17	63	14
17	63	14
17	63	14
18	62	14
18	62	14
18	62	14
18	62	14
19	61	14
20	60	14
19	61	14
19	61	14
19	61	14
19	61	14
19	61	14
20	60	14
21	59	14
22	58	14
22	58	14
22	58	15
22	58	15
22	58	15
22	58	15
22	58	15
22	58	15
22	58	15
23	57	15
24	56	15
25	55	15
25	55	15
25	55	16
25	55	16
23	57	16
23	57	17
23	57	17
24	56	17
24	56	17
23	57	17
23	57	17
24	56	18
24	56	20
23	57	20
23	57	20
24	56	20
25	55	20
25	55	20
26	54	20
27	53	20
28	52	20
28	52	21
29	51	21
29	51	21
27	53	20
28	52	20
28	52	20
29	51	21
28	52	22
27	53	23
28	52	24
28	52	24
28	52	25
29	51	25
30	50	25
31	49	26
32	48	27
34	46	28
35	45	28
34	46	28
34	46	28
34	46	29
34	46	29
34	46	29
34	46	29
35	45	29
35	45	29
35	45	29
35	45	29
35	45	29
36	44	29
36	44	29
36	44	29
37	43	30
39	41	30
39	41	30
41	39	30
41	39	30
41	39	32
42	38	32
42	38	32
42	38	32
42	38	32
42	38	32
42	38	32
43	37	32
44	36	34
44	36	34
44	36	34
44	36	34
45	35	34
44	36	34
45	35	34
48	32	34
48	32	34
48	32	34
47	33	34
47	33	34
48	32	34
47	33	34
48	32	34
48	32	34
49	31	34
49	31	35
49	31	35
50	30	35
51	29	35
52	28	35
52	28	35
52	28	35
52	28	36
52	28	36
52	28	36
53	27	36
53	27	36
53	27	36
53	27	36
53	27	36
53	27	37
52	28	37
51	29	37
51	29	37
51	29	37
51	29	37
51	29	37
51	29	37
52	28	37
52	28	37
53	27	37
53	27	37
54	26	37
54	26	37
54	26	37
53	27	38
54	26	38
55	25	38
56	24	39
56	24	39
56	24	40
56	24	40
57	23	40
57	23	40
58	22	41
58	22	41
58	22	41
58	22	41
58	22	41
58	22	41
58	22	41
59	21	41
59	21	41
59	21	41
62	18	42
62	18	43
62	18	43
63	17	43
63	17	43
63	17	43
61	19	43
60	20	43
60	20	43
59	21	43
59	21	43
60	20	44
61	19	44
61	19	44
60	20	44
60	20	44
61	19	44
61	19	44
61	19	44
60	20	44
60	20	44
60	20	44
60	20	44
60	20	44
60	20	44
60	20	44
60	20	44
60	20	44
60	20	44
61	19	44
61	19	45
61	19	45
61	19	45
61	19	45
61	19	45
61	19	45
61	19	45
62	18	45
62	18	45
62	18	45
62	18	45
64	16	46
64	16	46
64	16	46
65	15	46
65	15	46
66	14	46
66	14	46
66	14	46
66	14	46
66	14	46
66	14	46
67	13	46
68	12	46
68	12	46
68	12	46
69	11	47
69	11	47
69	11	47
70	10	47
70	10	47
70	10	47
71	9	47
71	9	47
71	9	47
73	7	47
73	7	47
73	7	47
73	7	47
73	7	47
75	5	47
74	6	47
74	6	48
74	6	49
74	6	49
73	7	49
73	7	49
73	7	50
