not_infected	infected	immnuned
75	5	4
73	7	4
73	7	4
72	8	4
72	8	4
72	8	4
72	8	4
72	8	4
72	8	4
72	8	4
72	8	4
72	8	4
71	9	4
71	9	4
71	9	4
71	9	4
71	9	4
71	9	4
71	9	4
71	9	4
71	9	4
68	12	4
68	12	4
68	12	4
68	12	4
68	12	4
68	12	4
68	12	4
68	12	4
67	13	4
67	13	4
66	14	4
63	17	4
63	17	4
62	18	4
60	20	4
59	21	4
59	21	4
59	21	4
59	21	4
58	22	4
57	23	4
56	24	4
55	25	4
54	26	4
53	27	4
53	27	4
53	27	4
53	27	4
51	29	4
51	29	4
51	29	4
51	29	4
51	29	4
51	29	4
50	30	4
50	30	4
50	30	4
49	31	4
49	31	4
48	32	4
48	32	4
48	32	4
46	34	4
46	34	4
46	34	4
46	34	4
46	34	4
46	34	4
44	36	4
43	37	4
42	38	4
42	38	4
41	39	4
41	39	4
41	39	4
37	43	4
33	47	4
31	49	4
31	49	4
31	49	4
31	49	4
31	49	4
30	50	4
30	50	4
29	51	4
28	52	4
28	52	4
28	52	4
28	52	4
25	55	4
24	56	4
23	57	4
22	58	4
21	59	4
21	59	4
21	59	4
21	59	4
21	59	4
21	59	4
21	59	4
21	59	4
19	61	4
20	60	4
19	61	4
19	61	4
19	61	4
19	61	4
18	62	4
17	63	4
16	64	4
16	64	4
16	64	4
16	64	4
16	64	4
16	64	4
16	64	4
17	63	4
17	63	4
17	63	4
17	63	4
15	65	4
14	66	4
14	66	4
15	65	4
15	65	4
14	66	4
12	68	4
11	69	4
11	69	4
10	70	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
9	71	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
9	71	4
9	71	4
10	70	4
9	71	4
9	71	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
9	71	4
9	71	4
10	70	4
10	70	4
10	70	4
10	70	4
10	70	4
10	70	4
10	70	4
9	71	4
9	71	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
8	72	4
10	70	4
10	70	4
11	69	4
11	69	4
10	70	4
9	71	4
9	71	4
9	71	4
9	71	4
8	72	4
6	74	4
5	75	4
5	75	4
5	75	4
5	75	4
5	75	4
6	74	4
6	74	4
6	74	4
7	73	4
7	73	4
7	73	4
8	72	4
9	71	4
8	72	4
8	72	4
7	73	4
7	73	4
8	72	4
8	72	4
8	72	4
8	72	5
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
8	72	8
9	71	8
9	71	8
9	71	8
9	71	8
9	71	8
9	71	8
9	71	8
9	71	8
9	71	8
10	70	8
10	70	8
10	70	8
11	69	8
